# f,1/f,realY,imagY,realZ,imagZ,realM,imagM,realE,imagE,tandelta
2.000000000000000000e+06,4.999999999999999774e-07,-5.423904362308878621e-07,1.912229781745920050e-03,-1.483309686088562229e-01,-5.229496627929687520e+02,5.818599836050382390e-04,-1.650404639366543398e-07,1.718626383878450497e+03,-4.874762034187395399e-01,2.836429185490825186e-04
1.888121750000000000e+06,5.296268633100592834e-07,-6.414373103499492679e-08,1.810715482935315720e-03,-1.956382579505443892e-02,-5.522678787304688512e+02,5.801073750704784267e-04,-2.055002665444538254e-08,1.723818799275929450e+03,-6.106545752542896777e-02,3.542452231700850398e-05
1.782501875000000000e+06,5.610092275499009038e-07,3.717586209019997327e-07,1.708679377149966046e-03,1.273326777839660640e-01,-5.852472769531250378e+02,5.803607115020130479e-04,1.262695041673436200e-07,1.723066246291743937e+03,3.748887825360483483e-01,-2.175707308658946524e-04
1.682790250000000000e+06,5.942511254744909383e-07,7.502065925889976125e-07,1.615358951062475850e-03,2.875032096862793485e-01,-6.190573207617187563e+02,5.795480625163414298e-04,2.691542811187383122e-07,1.725482059195047441e+03,8.013500747624845433e-01,-4.644209833954004865e-04
1.588656500000000000e+06,6.294626937918927447e-07,1.019540455560794090e-06,1.531039045056814931e-03,4.349423914623261056e-01,-6.531509172070312843e+02,5.772609137749614176e-04,3.844061697235972831e-07,1.732318147125538189e+03,1.153575043431411373e+00,-6.659140789730546390e-04
1.499788375000000000e+06,6.667607354937658813e-07,1.309428744823839269e-06,1.446619777025051189e-03,6.257094560623169821e-01,-6.912660787304688483e+02,5.767715584816349725e-04,5.220730905710673379e-07,1.733787261130861680e+03,1.569362532705670166e+00,-9.051644154324068681e-04
1.415891625000000000e+06,7.062687442621181909e-07,1.440588733843907099e-06,1.371040142720035462e-03,7.663712308120728123e-01,-7.293724412695313504e+02,5.745237283765759198e-04,6.036675255790068149e-07,1.740570226402871867e+03,1.828863926365818182e+00,-1.050726881698658835e-03
1.336687875000000000e+06,7.481178057368104391e-07,1.556285609741256136e-06,1.295207041712158075e-03,9.277058194732666907e-01,-7.720762194921875334e+02,5.741413050210779660e-04,6.898726012029689809e-07,1.741728991590443002e+03,2.092814259331177595e+00,-1.201572844820217832e-03
1.261914750000000000e+06,7.924465578994143479e-07,1.634470868521096756e-06,1.219128802737210783e-03,1.099707583885193074e+00,-8.202563997460938481e+02,5.758485154974445422e-04,7.720329641531522559e-07,1.736564696526387252e+03,2.328190755071827045e+00,-1.340687599908518607e-03
1.191324250000000000e+06,8.394020351722043748e-07,1.697801702429108482e-06,1.152419403285922248e-03,1.278394514160156259e+00,-8.677377582226563391e+02,5.751049227653196689e-04,8.472732359089465276e-07,1.738809371916438977e+03,2.561700630362409470e+00,-1.473249840802856852e-03
1.124682625000000000e+06,8.891397250846655899e-07,1.739462230521995094e-06,1.085490129300525084e-03,1.476257546577453672e+00,-9.212404655859376135e+02,5.764101231046100211e-04,9.236782641930539220e-07,1.734871391084625657e+03,2.780074344434114053e+00,-1.602467110081305397e-03
1.061768875000000000e+06,9.418245566861243833e-07,1.755446397812166549e-06,1.028040487717097207e-03,1.660985605010986577e+00,-9.727214989843751027e+02,5.745755114259197549e-04,9.811252804289135847e-07,1.740410206044315601e+03,2.971864302446396433e+00,-1.707565430336671327e-03
1.002374437500000000e+06,9.976311870981846032e-07,1.759251657358569490e-06,9.704732696470857100e-04,1.867924790649414302e+00,-1.030421697460937594e+03,5.746105363793414713e-04,1.041640785045695460e-06,1.740303476074874425e+03,3.154782177261791443e+00,-1.812777036093250142e-03
9.463025000000000000e+05,1.056744539933055151e-06,1.782517820478322188e-06,9.185863747027196886e-04,2.112478251266479479e+00,-1.088625154921875037e+03,5.731086458566370676e-04,1.112117926460934077e-06,1.744863284997484698e+03,3.385909028764906292e+00,-1.940501045484366999e-03
8.933671875000000000e+05,1.119360565277085465e-06,1.787145333472333970e-06,8.675937816770157036e-04,2.374243006515503129e+00,-1.152608257460937693e+03,5.728492268129746013e-04,1.180004794989603790e-06,1.745652625641356508e+03,3.595847514891570729e+00,-2.059887208986065695e-03
8.433930000000000000e+05,1.185686862470995129e-06,1.796901643525143309e-06,8.194188209541738164e-04,2.676149355545044184e+00,-1.220371274921875056e+03,5.725989881457182540e-04,1.255651001134884837e-06,1.746414527313730105e+03,3.829708391066757311e+00,-2.192897694774374392e-03
7.962143125000000000e+05,1.255943260879274967e-06,1.779937569277922427e-06,7.740701748041023660e-04,2.970583777389526503e+00,-1.291865705585937576e+03,5.722370285801185947e-04,1.315831844263325884e-06,1.747518357956668297e+03,4.018335390737823865e+00,-2.299452462082497272e-03
7.516748125000000000e+05,1.330362522956028934e-06,1.748975840470807732e-06,7.315685200968047482e-04,3.267919198226929112e+00,-1.366918145078125235e+03,5.716117057665577985e-04,1.366563809202352865e-06,1.749429331835034418e+03,4.182396524642130409e+00,-2.390720475833725545e-03
7.096267500000000000e+05,1.409191522162883532e-06,1.743251002724665093e-06,6.909951548977334409e-04,3.650960675354004259e+00,-1.447178939492187737e+03,5.713218309890768804e-04,1.441337681879405560e-06,1.750315813642102739e+03,4.415718077890161020e+00,-2.522812193933059426e-03
6.699308750000000000e+05,1.492691316846682028e-06,1.701585596473384047e-06,6.523039560872191797e-04,3.998994626922607765e+00,-1.533017216953125171e+03,5.713544750537682872e-04,1.490422580086437293e-06,1.750215039926372356e+03,4.565572038737717442e+00,-2.608577765923997781e-03
6.324555625000000000e+05,1.581138753918383044e-06,1.687145903649799503e-06,6.155198607914549608e-04,4.453128603210450009e+00,-1.624630740000000060e+03,5.716277324434097503e-04,1.566837154473685460e-06,1.749377138593107702e+03,4.795059690715576473e+00,-2.741009691353278859e-03
5.970765000000000000e+05,1.674827262503213635e-06,1.639939316373996452e-06,5.816077320777679168e-04,4.848015302276611926e+00,-1.719358245078125265e+03,5.711168339558432777e-04,1.610358491798717295e-06,1.750941296236445851e+03,4.937068945254411645e+00,-2.819665602648344701e-03
5.636765625000000000e+05,1.774067020925674973e-06,1.605517887376875985e-06,5.496078948933497696e-04,5.315027517700196213e+00,-1.819463431875000197e+03,5.705607813244531739e-04,1.666725585209965725e-06,1.752646693148011536e+03,5.119842058759173753e+00,-2.921206013040302755e-03
5.321450000000000000e+05,1.879187063676253656e-06,1.561285452779476504e-06,5.185573707094191104e-04,5.806103228454590592e+00,-1.928409451875000286e+03,5.708971103498788717e-04,1.718871245053763883e-06,1.751613236232076588e+03,5.273800777113218707e+00,-3.010824917296113252e-03
5.023772812500000000e+05,1.990535872784354564e-06,1.528077293196635029e-06,4.894401991072667556e-04,6.378841578826905057e+00,-2.043130610156250214e+03,5.710244828596908705e-04,1.782790926672556881e-06,1.751221327024499260e+03,5.467473963251919145e+00,-3.122091924577977563e-03
4.742747500000000000e+05,2.108482477719929384e-06,1.483844092049426224e-06,4.622374254197335114e-04,6.944701531066895583e+00,-2.163368087812500107e+03,5.708066581500106018e-04,1.832365881298478770e-06,1.751888631409166464e+03,5.623797322954866118e+00,-3.210134035992489275e-03
4.477442187500000000e+05,2.233418005466988388e-06,1.412545115620042193e-06,4.369684629021325134e-04,7.397715095520020157e+00,-2.288470760000000155e+03,5.700382027919973123e-04,1.842706619427141277e-06,1.754250058146653146e+03,5.670792200319993981e+00,-3.232601973695315659e-03
4.226978125000000000e+05,2.365756269438938768e-06,1.375601570927459983e-06,4.126606673517478337e-04,8.077959748840333631e+00,-2.423271629843750361e+03,5.698502007892763737e-04,1.899591827904644199e-06,1.754827648671240013e+03,5.849706214334880805e+00,-3.333493302754999329e-03
3.990524687500000000e+05,2.505936131988909165e-06,1.336501068783943915e-06,3.893360442716926493e-04,8.816880784912109803e+00,-2.568445000000000164e+03,5.702021882372110967e-04,1.957372930696784917e-06,1.753743210493258402e+03,6.020196972980960126e+00,-3.432769938586230016e-03
3.767298125000000000e+05,2.654422259188738750e-06,1.299558168863955286e-06,3.679379164767943955e-04,9.599336506347656339e+00,-2.717815914921875446e+03,5.696113498712344469e-04,2.011869529215735970e-06,1.755561094999043235e+03,6.200648695823244516e+00,-3.532003935087558739e-03
3.556558750000000000e+05,2.811706681353148047e-06,1.267867193948834944e-06,3.475094316808987325e-04,1.049868224182129062e+01,-2.877581434921875370e+03,5.693590359278987529e-04,2.077272089392322235e-06,1.756337611179741089e+03,6.407891802942559778e+00,-3.648439663396120004e-03
3.357608125000000000e+05,2.978310638916505508e-06,1.230203869945012474e-06,3.280362355966792926e-04,1.143213493988037222e+01,-3.048400840000000244e+03,5.694173386491655810e-04,2.135433033322750253e-06,1.756156457257925467e+03,6.585950683216206691e+00,-3.750207252888819887e-03
3.169786250000000000e+05,3.154786856684737224e-06,1.194452686871512684e-06,3.095371505076185492e-04,1.246628135070800880e+01,-3.230581880000000183e+03,5.696909723538721992e-04,2.198343273169658097e-06,1.755311490166267731e+03,6.773456828323207723e+00,-3.858834666251519888e-03
2.992471250000000000e+05,3.341719657289940399e-06,1.161646524246472208e-06,2.919939785085179135e-04,1.362446108215332075e+01,-3.424673954921875520e+03,5.701351605131015510e-04,2.268182141781491294e-06,1.753942297282961135e+03,6.977749965169874891e+00,-3.978323560575017584e-03
2.825075000000000000e+05,3.539729033742467086e-06,1.147414545408831832e-06,2.763627496122648877e-04,1.502290271545410327e+01,-3.618370290156250121e+03,5.686847708843044890e-04,2.361089469476682992e-06,1.758413120414561945e+03,7.300653919647708712e+00,-4.151842268969485779e-03
2.667042812500000000e+05,3.749471119522945231e-06,1.091226393886447246e-06,2.608286968430022505e-04,1.603971019775390872e+01,-3.833866860312500194e+03,5.688471958997279006e-04,2.379880288355362018e-06,1.757910567640648651e+03,7.354552749447009319e+00,-4.183689935556735365e-03
2.517850781250000000e+05,3.971641240405616026e-06,1.067586991213198917e-06,2.462034996420008558e-04,1.761191835937500016e+01,-4.061604320000000371e+03,5.689265588021686889e-04,2.466977902491485301e-06,1.757663062611197574e+03,7.621574117785416824e+00,-4.336197465777512881e-03
2.377004531250000000e+05,4.206975573050876958e-06,1.037314073104901557e-06,2.325570800141288298e-04,1.917973038208008063e+01,-4.299934040000000095e+03,5.686177476080904458e-04,2.536302880029488643e-06,1.758615711173642012e+03,7.844254091395426620e+00,-4.460470835985213579e-03
2.244036875000000000e+05,4.456254757400098661e-06,1.005329557251790600e-06,2.189107601141453217e-04,2.097804796325683796e+01,-4.567975140312500116e+03,5.702723674147245443e-04,2.618928673707208735e-06,1.753511071703575908e+03,8.052854544165271022e+00,-4.592417278746771872e-03
2.118507500000000000e+05,4.720304270813296439e-06,9.793114724468625994e-07,2.072055569961238038e-04,2.280911024047851754e+01,-4.826017589843750102e+03,5.687841868226949224e-04,2.688233305983414942e-06,1.758096807090709262e+03,8.309257714011687668e+00,-4.726279963935439178e-03
2.000000000000000000e+05,5.000000000000000409e-06,9.537229028505976175e-07,1.955003824149377240e-04,2.495264879760742360e+01,-5.114957780312500290e+03,5.691158178203742759e-04,2.776356665522137829e-06,1.757069775212204149e+03,8.571633803609325142e+00,-4.878368477184757968e-03
1.888121718750000000e+05,5.296268720758286387e-06,9.278286144925494129e-07,1.847741544529412304e-04,2.717530108886719020e+01,-5.411875859687500451e+03,5.684685219112580595e-04,2.854519143270549558e-06,1.759068000134834847e+03,8.833019045306762962e+00,-5.021419890890915783e-03
1.782501875000000000e+05,5.610092275499009038e-06,9.271308869282671149e-07,1.740198923780186227e-04,3.061476506347656468e+01,-5.746306370156250523e+03,5.698327159853732457e-04,3.035914481688278572e-06,1.754851183608386691e+03,9.349372143914020938e+00,-5.327729343230981629e-03
1.682790312500000000e+05,5.942511034035917868e-06,9.009612242850427684e-07,1.642659529181801008e-04,3.338857782226563131e+01,-6.087505660312500368e+03,5.698991230218865278e-04,3.125766493148589167e-06,1.754643721653252669e+03,9.623819955144314875e+00,-5.484771544434446575e-03
1.588656406250000000e+05,6.294627309378276984e-06,8.823651791723245263e-07,1.554829947205053464e-04,3.649795916503906312e+01,-6.431364389843750359e+03,5.684099903418182893e-04,3.225723712569791362e-06,1.759236840419329155e+03,9.983659838129147701e+00,-5.674994752695979375e-03
1.499788437500000000e+05,6.667607077081496916e-06,8.612151899626683468e-07,1.467002960447733734e-04,4.001609759521484477e+01,-6.816383909843750189e+03,5.687385300238508197e-04,3.338822581681015523e-06,1.758216622824855904e+03,1.032174374317206755e+01,-5.870575678319169335e-03
1.415891562500000000e+05,7.062687754380907746e-06,8.409682702599639044e-07,1.388923360815337755e-04,4.359203301269531750e+01,-7.199557360000000699e+03,5.671062026067483827e-04,3.433726695905878661e-06,1.763273503070482548e+03,1.067630590504238874e+01,-6.054821266497321768e-03
1.336687812500000000e+05,7.481178407168278094e-06,8.187738896030289514e-07,1.310866716910041526e-04,4.764638637939453503e+01,-7.628243020312500448e+03,5.672612479630631706e-04,3.543142048114561278e-06,1.762787414041740249e+03,1.101045811080173387e+01,-6.246049877084623725e-03
1.261914687500000000e+05,7.924465971476379392e-06,7.961466943042846919e-07,1.232790263511928308e-04,5.238375084838867934e+01,-8.111341600000000653e+03,5.694443577835428148e-04,3.677521282071735494e-06,1.756024589903884817e+03,1.134055981579779449e+01,-6.458087136706050502e-03
1.191324296875000000e+05,8.394020021442785741e-06,7.769188890803362488e-07,1.164485712947234224e-04,5.729121336669922471e+01,-8.587099680625000474e+03,5.691216552606338536e-04,3.797052718127158535e-06,1.757015358897597253e+03,1.172241450070640667e+01,-6.671776909259001347e-03
1.124682656250000000e+05,8.891397003793709197e-06,7.589814652594051682e-07,1.096106378716761495e-04,6.316913612548828638e+01,-9.122764680625001347e+03,5.708014633701840321e-04,3.952424139234599384e-06,1.751838633861387962e+03,1.213032857981139756e+01,-6.924341286545228173e-03
1.061768906250000000e+05,9.418245289663284558e-06,7.413548782049514976e-07,1.037502741322567448e-04,6.886926843017579358e+01,-9.638036639375000959e+03,5.693078645820729431e-04,4.068029372822083681e-06,1.756429175918639885e+03,1.255068816617171912e+01,-7.145570307215781854e-03
1.002374453125000000e+05,9.976311715471225527e-06,7.272085376008953885e-07,9.788821878410446228e-05,7.588818205078125345e+01,-1.021517017968750042e+04,5.696448863720193030e-04,4.231874171539142921e-06,1.755382761064712895e+03,1.304068402162999440e+01,-7.428968946761374363e-03
9.463025000000000000e+04,1.056744539933055193e-05,7.113260715425616530e-07,9.261280292756063467e-05,8.292797313964844363e+01,-1.079700624062500174e+04,5.684103107386237301e-04,4.365757871276659541e-06,1.759188727367149568e+03,1.351170428907990484e+01,-7.680645105827783002e-03
8.933671875000000000e+04,1.119360565277085465e-05,6.901539066908921150e-07,8.743668662572332733e-05,9.026751987304687930e+01,-1.143613442031250088e+04,5.683787807348139555e-04,4.486318628283139351e-06,1.759280492888507069e+03,1.388632566018208259e+01,-7.893184581034353581e-03
8.433929687500000000e+04,1.185686906403913498e-05,6.792413242909222252e-07,8.255037528342476603e-05,9.966819516357422515e+01,-1.211299522031250126e+04,5.683424947883477726e-04,4.676437962703688805e-06,1.759383312725023188e+03,1.447656472993220689e+01,-8.228203953753636737e-03
7.962143750000000000e+04,1.255943162292190401e-05,6.645705364005989516e-07,7.795691774693015187e-05,1.093453208618164183e+02,-1.282666582031250073e+04,5.681622849824240380e-04,4.843494655844424159e-06,1.759932608607406564e+03,1.500315034937597858e+01,-8.524843665035345200e-03
7.516748437500000000e+04,1.330362467647767420e-05,6.530207188021221131e-07,7.365669179183837400e-05,1.203561834667968924e+02,-1.357543192062500202e+04,5.676913535177684949e-04,5.033001166813200040e-06,1.761382129078460139e+03,1.561594739099428075e+01,-8.865735114029122538e-03
7.096267968750000000e+04,1.409191429077542106e-05,6.402704688678531814e-07,6.955003790648648569e-05,1.323524317236328329e+02,-1.437691896000000088e+04,5.675765437592471306e-04,5.225051067258102597e-06,1.761727593645282013e+03,1.621828235258948325e+01,-9.205896763546396119e-03
6.699308593750000000e+04,1.492691351661173024e-05,6.293183372639354423e-07,6.563980341238996011e-05,1.460481045556640822e+02,-1.523325843875000101e+04,5.677424936513322546e-04,5.443202805682013718e-06,1.761200016611323235e+03,1.688541720760004239e+01,-9.587450061514769806e-03
6.324555468750000000e+04,1.581138792980880177e-05,6.194470876632838394e-07,6.192439782324828720e-05,1.615240426318359539e+02,-1.614710807937500067e+04,5.681373817227296230e-04,5.683237284039648132e-06,1.759961545516096976e+03,1.760538805530416084e+01,-1.000327995810925373e-02
5.970765234375000000e+04,1.674827196759942136e-05,6.094664091032406778e-07,5.850127542983331335e-05,1.780622971142578308e+02,-1.709178936125000109e+04,5.677356093619542179e-04,5.914670759150940222e-06,1.761192112178593788e+03,1.834810308773293386e+01,-1.041800207987323909e-02
5.636766015625000000e+04,1.774066897983738318e-05,6.009977674732817715e-07,5.527247466311581469e-05,1.966996995458984543e+02,-1.809004916125000091e+04,5.672811620224135981e-04,6.168254886055078235e-06,1.762585911287856788e+03,1.916523919220783867e+01,-1.087336456593171116e-02
5.321450000000000000e+04,1.879187063676253741e-05,5.933677859784582989e-07,5.214256017506509655e-05,2.182142089111328289e+02,-1.917570820000000094e+04,5.676883812018407131e-04,6.460135381701379394e-06,1.761301713805001782e+03,2.004312206481014869e+01,-1.137972098006439191e-02
5.023773046875000000e+04,1.990535779919521648e-05,5.856501594978998375e-07,4.920722852025242230e-05,2.418348812695312802e+02,-2.031933924000000115e+04,5.678952028423544683e-04,6.758923965527392570e-06,1.760638872029297772e+03,2.095461311741585320e+01,-1.190170991355185733e-02
4.742747265625000000e+04,2.108482581915989513e-05,5.797596619248314801e-07,4.646772033142545615e-05,2.684588106347656549e+02,-2.151696599875000175e+04,5.677270972756706668e-04,7.083310040486589521e-06,1.761135523050809297e+03,2.197300250938363675e+01,-1.247661081261927825e-02
